Localization,1.0.0,,,,,,,,,,,,
ID,en:English,ja:Japanese,zh:Chinese,zh-CN:ChineseSimplified,zh-TW:ChineseTraditional,fr:French,es:Spanish,ko:Korean,id:Indonesian,th:Thai,ar:Arabic,ru:Russian,de:German
The restriction is released!,The restriction is released!,制限を解除しました！,该限制被解除！,该限制被解除！,該限制被解除！,La restriction est libérée!,La restricción se libera!,제한을 해제했습니다!,Pembatasan dilepaskan!,ข้อ จำกัด จะถูกปล่อยออก!,يتم تحرير قيود!,Ограничение выпущено!,Die Einschränkung ist erschienen!
#Mixture,,,,,,,,,,,,,
Mixture Character comment,Generate character from material,素材からキャラクターを生成,生成材料特性,生成材料特性,生成材料特性,Générer caractère de matériel,Generar a partir de material carácter,소재에서 캐릭터를 생성,Menghasilkan karakter dari bahan,สร้างตัวละครจากวัสดุ,توليد حرف من المواد,Генерация персонажа из материала,Generieren Charakter von Material
Mixture Book comment,Generate book from material,素材からブックを生成,生成的材料书,生成的材料书,生成的材料書,Générer livre de matériel,Generar a partir de material de libros,소재에서 북을 생성,Menghasilkan buku dari bahan,สร้างหนังสือจากวัสดุ,توليد كتاب من المواد,Сформировать книгу из материала,Generieren Buch von Material
Mixture Item comment,Generate items from materials,素材からアイテムを生成,生成材料项目,生成材料项目,生成材料項目,Générer des articles à partir de matériaux,Generar artículos de materiales,소재에서 항목을 생성,Menghasilkan barang-barang dari bahan,สร้างรายการจากวัสดุ,تولد العناصر من المواد,Сформировать элементы из материалов,Generieren Sie Elemente aus Materialien
Select generation pod,Select generation pod,生成ポッドを選択,选择代吊舱,选择代吊舱,選擇代吊艙,Sélectionnez pod génération,Seleccione la vaina generación,생성 깍지를 선택,Pilih generasi pod,เลือกฝักรุ่น,حدد الجيل جراب,Выбор стручок поколения,Wählen Generation pod
Start generating,Start generating,生成スタート,开始产生,开始产生,開始產生,commencer à générer,comenzar a generar,생성 시작,mulai menghasilkan,เริ่มต้นสร้าง,بدء توليد,Начало генерации,beginnen Erzeugen
Start generating by Prizm,Start generating by Prizm,プリズムを支払い生成スタート,通过启动PRIZM产生,通过启动PRIZM产生,通過啟動PRIZM產生,Commencez par générer Prizm,Comenzar a generar por Prizm,프리즘을 지불 생성 시작,Mulai menghasilkan oleh Prizm,เริ่มต้นสร้างโดยพริซึ่ม,بدء توليد كتبها PRIZM,Начало генерации по Prizm,Beginnen Sie mit Prizm Erzeugen
Start generating by Gold,Start generating by Gold,ゴールドを支払い生成スタート,通过启动金产生,通过启动金产生,通過啟動金產生,Commencer à générer par Gold,Comenzar a generar por Gold,골드를 지불 생성 시작,Mulai menghasilkan oleh Emas,เริ่มต้นสร้างจากทอง,بدء توليد كتبها الذهب,Начало генерации на золото,Beginnen Sie mit der Gold-Erzeugung
There are unselected materials. Select the material until all checks,There are unselected materials. Select the material until all checks.,選ばれていない素材があります。すべてにチェックが入るまで素材を選んで下さい。,存在未选择的材料。选择材料，直到所有检查。,存在未选择的材料。选择材料，直到所有检查。,存在未選擇的材料。選擇材料，直到所有檢查。,Il existe des matériaux non sélectionnés. Sélectionnez le matériau jusqu'à ce que tous les chèques.,Hay materiales no seleccionados. Seleccionar el material hasta que todos los cheques.,선정되지 않은 소재가 있습니다. 모든 검사가 들어갈 때까지 소재를 선택하십시오.,Ada bahan yang tidak dipilih. Pilih materi sampai semua pemeriksaan.,มีวัสดุที่ไม่ได้เลือกเป็น เลือกวัสดุที่จนกว่าจะตรวจสอบทั้งหมด,هناك مواد غير محددة. حدد المواد حتى تكون جميع الشيكات.,"Есть невыбранные материалы. Выберите материал, пока все проверки.","Es gibt nicht ausgewählte Materialien. Wählen Sie das Material, bis alle Kontrollen."
"Generate [ItemName]. The material used will be lost after generation and can not be restored. Also, it is not possible to use the [Time] time pod after generation. Is it OK?","Generate [ItemName]. The material used will be lost after generation and can not be restored. Also, it is not possible to use the [Time] time pod after generation. Is it OK?",[ItemName]の生成を行います。使用した素材は生成後消失し元に戻すことができません。また、生成後[Time]時間ポッドを使用することができません。よろしいでしょうか？,生成[ItemName]。所用的材料将代后丢失，无法恢复。此外，它不可能产生后使用[Time]时间吊舱。可以吗？,生成[ItemName]。所用的材料将代后丢失，无法恢复。此外，它不可能产生后使用[Time]时间吊舱。可以吗？,生成[ItemName]。所用的材料將代後丟失，無法恢復。此外，它不可能產生後使用[Time]時間吊艙。可以嗎？,"Générer [ItemName]. Le matériau utilisé sera perdu après génération et ne peut pas être restaurée. En outre, il est impossible d'utiliser le [Time] pod après génération. Est-ce que c'est bon?","Generar [ItemName]. El material utilizado se perderá tras generación y no puede ser restaurado. Además, no es posible utilizar el [Time] vaina de tiempo tras generación. ¿Está bien?",[ItemName]를 생성합니다. 사용한 소재는 생성 후 사라 취소 할 수 없습니다. 또한 생성 후 [Time] 시간 깍지를 사용할 수 없습니다. 좋을까요?,"Menghasilkan [ItemName]. Bahan yang digunakan akan hilang setelah generasi dan tidak dapat dipulihkan. Juga, tidak mungkin untuk menggunakan [Time] waktu pod generasi. Apakah itu OK?",สร้าง [ItemName] วัสดุที่ใช้จะหายไปหลังจากที่รุ่นและไม่สามารถเรียกคืนได้ นอกจากนี้ก็เป็นไปไม่ได้ที่จะใช้ [Time] ฝักเวลาแล้วรุ่นเล่า มันตกลง?,توليد [ItemName]. المواد المستخدمة ستفقد بعد جيل والتي لا يمكن استعادتها. أيضا، فإنه ليس من الممكن استخدام [Time] جراب الوقت بعد جيل. هل الامور على ما يرام؟,"Сформировать [ItemName]. Материал, используемый будет утрачен после генерации и не может быть восстановлен. Кроме того, не представляется возможным использовать [Time] времени после того, как стручок поколения. Это нормально?","Generieren [ItemName]. Das verwendete Material wird nach der Erzeugung verloren und können nicht wiederhergestellt werden. Auch ist es nicht möglich, die [Zeit] Zeit pod nach der Erzeugung zu verwenden. Ist es o.k?"
"You can generate [ItemName] with paying [Prizm] Prizm. The material used will be lost after generation and can not be restored. Also, it is not possible to use the [Time] time pod after generation. Is it OK?","You can generate [ItemName] with paying [Prizm] Prizm. The material used will be lost after generation and can not be restored. Also, it is not possible to use the [Time] time pod after generation. Is it OK?",[Prizm]プリズムを支払って[ItemName]の生成を行います。使用した素材は生成後消失し元に戻すことができません。また、生成後[Time]時間ポッドを使用することができません。よろしいでしょうか？,您可以生成[ItemName]与支付[Prizm] PRIZM。所用的材料将代后丢失，无法恢复。此外，它不可能产生后使用[Time]时间吊舱。可以吗？,您可以生成[ItemName]与支付[Prizm] PRIZM。所用的材料将代后丢失，无法恢复。此外，它不可能产生后使用[Time]时间吊舱。可以吗？,您可以生成[ItemName]與支付[Prizm] PRIZM。所用的材料將代後丟失，無法恢復。此外，它不可能產生後使用[Time]時間吊艙。可以嗎？,"Vous pouvez générer [ItemName] avec [Prizm] payer Prizm. Le matériau utilisé sera perdu après génération et ne peut pas être restaurée. En outre, il est impossible d'utiliser le [Time] pod après génération. Est-ce que c'est bon?","Puede generar [ItemName] con el pago [Prizm] Prizm. El material utilizado se perderá tras generación y no puede ser restaurado. Además, no es posible utilizar el [Time] vaina de tiempo tras generación. ¿Está bien?",[Prizm] 프리즘을 지불 [ItemName]를 생성합니다. 사용한 소재는 생성 후 사라 취소 할 수 없습니다. 또한 생성 후 [Time] 시간 깍지를 사용할 수 없습니다. 좋을까요?,"Anda dapat menghasilkan [ItemName] dengan membayar [Prizm] Prizm. Bahan yang digunakan akan hilang setelah generasi dan tidak dapat dipulihkan. Juga, tidak mungkin untuk menggunakan [Time] waktu pod generasi. Apakah itu OK?",คุณสามารถสร้าง [ItemName] กับการชำระเงิน [Prizm] พริซึ่ม วัสดุที่ใช้จะหายไปหลังจากที่รุ่นและไม่สามารถเรียกคืนได้ นอกจากนี้ก็เป็นไปไม่ได้ที่จะใช้ [Time] ฝักเวลาแล้วรุ่นเล่า มันตกลง?,يمكنك توليد [ItemName] مع دفع [Prizm] PRIZM. المواد المستخدمة ستفقد بعد جيل والتي لا يمكن استعادتها. أيضا، فإنه ليس من الممكن استخدام [Time] جراب الوقت بعد جيل. هل الامور على ما يرام؟,"Вы можете сгенерировать [ItemName] с оплатой [Prizm] Prizm. Материал, используемый будет утрачен после генерации и не может быть восстановлен. Кроме того, не представляется возможным использовать [Time] времени после того, как стручок поколения. Это нормально?","Sie können [ItemName] mit der Zahlung [Prizm] Prizm erzeugen. Das verwendete Material wird nach der Erzeugung verloren und können nicht wiederhergestellt werden. Auch ist es nicht möglich, die [Time] Zeit pod nach der Erzeugung zu verwenden. Ist es o.k?"
"You can generate [ItemName] with paying [Gold] Gold. The material used will be lost after generation and can not be restored. Also, it is not possible to use the [Time] time pod after generation. Is it OK?","You can generate [ItemName] with paying [Gold] Gold. The material used will be lost after generation and can not be restored. Also, it is not possible to use the [Time] time pod after generation. Is it OK?",[Gold]ゴールドを支払って[ItemName]の生成を行います。使用した素材は生成後消失し元に戻すことができません。また、生成後[Time]時間ポッドを使用することができません。よろしいでしょうか？,您可以生成[ItemName]与支付[Gold]黄金。所用的材料将代后丢失，无法恢复。此外，它不可能产生后使用[Time]时间吊舱。可以吗？,您可以生成[ItemName]与支付[Gold]黄金。所用的材料将代后丢失，无法恢复。此外，它不可能产生后使用[Time]时间吊舱。可以吗？,您可以生成[ItemName]與支付[Gold]黃金。所用的材料將代後丟失，無法恢復。此外，它不可能產生後使用[Time]時間吊艙。可以嗎？,"Vous pouvez générer [ItemName] de payer [Gold] Or. Le matériau utilisé sera perdu après génération et ne peut pas être restaurée. En outre, il est impossible d'utiliser le [Time] pod après génération. Est-ce que c'est bon?","Puede generar [ItemName] con el pago [Gold] Oro. El material utilizado se perderá tras generación y no puede ser restaurado. Además, no es posible utilizar el [Time] vaina de tiempo tras generación. ¿Está bien?",[Gold] 골드를 지불 [ItemName]를 생성합니다. 사용한 소재는 생성 후 사라 취소 할 수 없습니다. 또한 생성 후 [Time] 시간 깍지를 사용할 수 없습니다. 좋을까요?,"Anda dapat menghasilkan [ItemName] dengan membayar [Gold] Emas. Bahan yang digunakan akan hilang setelah generasi dan tidak dapat dipulihkan. Juga, tidak mungkin untuk menggunakan [Time] waktu pod generasi. Apakah itu OK?",คุณสามารถสร้าง [ItemName] กับการชำระเงิน [Gold] ทอง วัสดุที่ใช้จะหายไปหลังจากที่รุ่นและไม่สามารถเรียกคืนได้ นอกจากนี้ก็เป็นไปไม่ได้ที่จะใช้ [Time] ฝักเวลาแล้วรุ่นเล่า มันตกลง?,يمكنك توليد [ItemName] مع دفع [Gold] الذهب. المواد المستخدمة ستفقد بعد جيل والتي لا يمكن استعادتها. أيضا، فإنه ليس من الممكن استخدام [Time] جراب الوقت بعد جيل. هل الامور على ما يرام؟,"Вы можете сгенерировать [ItemName] с оплатой [Gold] Gold. Материал, используемый будет утрачен после генерации и не может быть восстановлен. Кроме того, не представляется возможным использовать [Time] времени после того, как стручок поколения. Это нормально?","Sie können [ItemName] mit der Zahlung [Gold] Gold-erzeugen. Das verwendete Material wird nach der Erzeugung verloren und können nicht wiederhergestellt werden. Auch ist es nicht möglich, die [Time] Zeit pod nach der Erzeugung zu verwenden. Ist es o.k?"
#User registration,,,,,,,,,,,,,
Please choose your starting method,Please choose your starting method,はじめ方を選んで下さい,请选择您的起动方法,请选择您的起动方法,請選擇您的起動方法,S'il vous plaît choisir votre méthode de départ,"Por favor, elegir el método de partida",시작 방법을 선택하세요,Silakan memilih metode awal Anda,โปรดเลือกวิธีการเริ่มต้นของคุณ,الرجاء اختيار طريقة البداية,"Пожалуйста, выберите способ запуска",Bitte wählen Sie Ihre Startverfahren
Start user registration,Start user registration,ユーザー登録してはじめる,启动用户注册,启动用户注册,啟動用戶註冊,Démarrez l'enregistrement des utilisateurs,Iniciar el registro de usuarios,사용자 등록 시작,Mulai pendaftaran pengguna,เริ่มลงทะเบียนผู้ใช้,بدء تسجيل المستخدم,Начать регистрацию пользователя,Starten Sie die Benutzerregistrierung
Start user registration comment,It is safe even if the data disappears! (You need a Google Account),データが消えても安心！（Googleアカウントが必要です）,它是安全的，即使数据消失了！ （您需要一个谷歌帐户）,它是安全的，即使数据消失了！ （您需要一个谷歌帐户）,它是安全的，即使數據消失了！ （您需要一個谷歌帳戶）,"Il est sûr, même si les données disparaît! (Vous avez besoin d'un compte Google)","Es seguro, incluso si los datos desaparece! (Se necesita una cuenta de Google)",데이터가 사라져도 안심! (Google 계정이 필요합니다),Hal ini aman bahkan jika data hilang! (Anda harus memiliki Akun Google),มันมีความปลอดภัยแม้ว่าข้อมูลที่หายไป! (คุณต้องมีบัญชี Google),فمن آمن حتى لو يختفي البيانات! (تحتاج إلى حساب Google),"Это безопасно, даже если данные исчезают! (Требуется аккаунт Google)","Es ist sicher, auch wenn die Daten verschwinden! (Sie benötigen ein Google-Konto)"
Continue from previous data,Continue from previous data,前のデータからつづける,从以前的数据继续,从以前的数据继续,從以前的數據繼續,Continuer à partir de données précédentes,Continuará a partir de los datos anteriores,이전 데이터에서 계속하는,Lanjutkan dari data sebelumnya,ดำเนินการต่อจากข้อมูลก่อนหน้านี้,تواصل من البيانات السابقة,Продолжить от предыдущих данных,Weiter aus früheren Daten
Start user registration comment,Load data from registered account,登録したアカウントからデータをロード,从注册账号加载数据,从注册账号加载数据,從註冊賬號加載數據,Charger des données de compte enregistré,cargar datos de la cuenta registrada,등록한 계정에서 데이터를로드,Beban data dari akun yang terdaftar,โหลดข้อมูลจากบัญชีที่ลงทะเบียน,تحميل البيانات من الحساب المسجل,Загрузка данных из зарегистрированной учетной записи,Laden von Daten von registrierten Konto
Start without user registration,Start without user registration,ユーザー登録しないではじめる,启动无需用户注册,启动无需用户注册,啟動無需用戶註冊,Commencez sans inscription utilisateur,Sin iniciar el registro de usuarios,등록하지 않고 시작,Mulai tanpa pendaftaran pengguna,เริ่มต้นโดยไม่ต้องลงทะเบียนผู้ใช้,بدء بدون تسجيل المستخدم,Старт без регистрации пользователя,Start ohne Benutzerregistrierung
#Error,,,,,,,,,,,,,
An unknown error occurred.,An unknown error occurred.,原因不明のエラーが発生しました。,出现未知错误。,出现未知错误。,出現未知錯誤。,Une erreur inconnue est survenue.,Un error desconocido ocurrió.,알 수없는 오류가 발생했습니다.,Terjadi kesalahan yang tidak diketahui.,เกิดข้อผิดพลาดที่ไม่ทราบสาเหตุ,حدث خطأ غير معروف.,Произошла неизвестная ошибка.,Ein unbekannter Fehler ist aufgetreten.
Data can not be acquired.,Data can not be acquired.,データが取得できません。,数据无法获得。,数据无法获得。,數據無法獲得。,ne peut pas être données acquises.,Los datos no pueden ser adquiridos.,데이터를 검색 할 수 없습니다.,Data tidak dapat diperoleh.,ข้อมูลที่ไม่สามารถซื้อได้,لا يمكن الحصول على البيانات.,Данные не могут быть приобретены.,Die Daten können nicht erworben werden.
Data can not be saved.,Data can not be saved.,データを保存できません。,数据无法保存。,数据无法保存。,數據無法保存。,Les données ne peuvent être enregistrées.,Los datos no se pueden guardar.,데이터를 저장할 수 없습니다.,Data tidak dapat disimpan.,ข้อมูลที่ไม่สามารถบันทึกได้,لا يمكن حفظ البيانات.,Данные не могут быть сохранены.,Die Daten können nicht gespeichert werden.
Please check the communication environment.,Please check the communication environment.,通信環境をご確認ください。,请检查通信环境。,请检查通信环境。,請檢查通信環境。,S'il vous plaît vérifier l'environnement de communication.,"Por favor, compruebe el entorno de la comunicación.",통신 환경을 확인하시기 바랍니다.,Silakan periksa lingkungan komunikasi.,กรุณาตรวจสอบสภาพแวดล้อมการสื่อสาร,يرجى التحقق من بيئة الاتصالات.,"Пожалуйста, проверьте коммуникационную среду.",Bitte überprüfen Sie die Kommunikationsumgebung.
This function is not supported on this platform.,This function is not supported on this platform.,このプラットフォームではこの機能は対応しておりません。,在此平台不支持此功能。,在此平台不支持此功能。,在此平台不支持此功能。,Cette fonction est pas prise en charge sur cette plate-forme.,Esta función no es compatible con esta plataforma.,이 플랫폼에서는이 기능을 지원하지 않습니다.,Fungsi ini tidak didukung pada platform ini.,ฟังก์ชั่นนี้ไม่ได้รับการสนับสนุนบนแพลตฟอร์มนี้,لا يتم اعتماد هذه الوظيفة على هذه المنصة.,Эта функция не поддерживается на этой платформе.,Diese Funktion wird auf dieser Plattform nicht unterstützt.
You can not have any more items. Please reduce the number by discarding items or synthesizing them.,You can not have any more items. Please reduce the number by discarding items or synthesizing them.,これ以上アイテムを持てません。アイテムを捨てるか合成するか等をして数を減らして下さい。,你不能有任何更多的项目。通过丢弃的物品或合成它们的请减少数量。,你不能有任何更多的项目。通过丢弃的物品或合成它们的请减少数量。,你不能有任何更多的項目。通過丟棄的物品或合成它們的請減少數量。,Vous ne pouvez pas avoir d'autres éléments. S'il vous plaît réduire le nombre en éliminant les éléments ou les synthétiser.,"No se puede tener más elementos. Por favor, reduzca el número descartando elementos o sintetizarlos.",더 이상 아이템을 가질 수 없습니다. 아이템을 버리거나 합성하거나 등을하고 수를 줄이십시오.,Anda tidak dapat memiliki lebih banyak item. Harap mengurangi jumlah dengan membuang barang-barang atau mensintesis mereka.,คุณไม่สามารถมีรายการใด ๆ เพิ่มเติม โปรดลดจำนวนรายการโดยการทิ้งหรือสังเคราะห์พวกเขา,لا يمكنك الحصول على أي عناصر أكثر. يرجى تقليل عدد عن طريق تجاهل العناصر أو تجميع لهم.,Вы не можете иметь больше пунктов. Сократите количество выбрасывания предметов или их синтез.,Sie können keine weiteren Produkte haben. Bitte reduzieren Sie die Anzahl von Einzelteilen oder synthetisieren sie zu verwerfen.
Activation failed,Activation failed. Quit the application. Please wait for a while and start again. If it does not improve please contact the developer of the application.,アクティベートに失敗しました。アプリを終了します。しばらく時間を置いて再度起動して下さい。改善しない場合は、アプリの開発者に問い合わせてください。,激活失败。退出应用程序。请稍等片刻，然后重新开始。如果没有改善，请联系应用程序的开发。,激活失败。退出应用程序。请稍等片刻，然后重新开始。如果没有改善，请联系应用程序的开发。,激活失敗。退出應用程序。請稍等片刻，然後重新開始。如果沒有改善，請聯繫應用程序的開發。,Activation echouée. Quittez l'application. S'il vous plaît attendre pendant un certain temps et recommencer. Si elle ne s'améliore pas s'il vous plaît contacter le développeur de l'application.,"Activación fallida. Salir de la aplicación. Por favor, espere un momento y empezar de nuevo. Si no mejora póngase en contacto con el desarrollador de la aplicación.",활성화에 실패했습니다. 응용 프로그램을 종료합니다. 잠시 시간을두고 다시 시작하십시오. 개선하지 않으면 앱 개발자에게 문의하십시오.,Aktivasi gagal. Keluar dari aplikasi. Harap tunggu sebentar dan mulai lagi. Jika tidak meningkatkan hubungi pengembang aplikasi.,การเปิดใช้งานล้มเหลว ออกจากโปรแกรมประยุกต์ กรุณารอสักครู่และเริ่มต้นอีกครั้ง ถ้ามันไม่ได้ปรับปรุงโปรดติดต่อนักพัฒนาของแอพลิเคชัน,فشل التفعيل. إنهاء التطبيق. يرجى الانتظار لفترة من الوقت والبدء من جديد. إذا كان لا يحسن يرجى الاتصال مطور التطبيق.,"Активация не удалось. Выход из приложения. Пожалуйста, подождите некоторое время и начать снова. Если это не помогает, пожалуйста, свяжитесь с разработчиком приложения.",Aktivierung fehlgeschlagen. Beenden Sie die Anwendung. Bitte warten Sie einen Moment und starten Sie es erneut. Wenn es nicht verbessert bitte an den Entwickler der Anwendung in Verbindung.
#Page,,,,,,,,,,,,,
Home,Home,ホーム,家,家,家,Accueil,Casa,홈,Rumah,บ้าน,الصفحة الرئيسية,Главная,Zuhause
Gacha,Gacha,ガチャ,嘎查,嘎查,嘎查,Gacha,Gacha,가체,Gacha,Gacha,Gacha,Gacha,Gacha
Book,Book,ブック,书,书,書,Livre,Libro,책,Book,หนังสือ,كتاب,Книга,Buch
Music,Music,音楽,音乐,音乐,音樂,La musique,Música,음악,Musik,เพลง,موسيقى,Музыка,Musik
Item,Item,アイテム,项目,项目,項目,Article,ít.,아이템,Barang,ชิ้น,بند,Пункт,Artikel
Chara,Chara,キャラ,甜心,甜心,甜心,Chara,Chara,캐릭터,Chara,Chara,شارا,Чара,Chara
Dungeon,Dungeon,ダンジョン,地下城,地下城,地下城,Cachot,Mazmorra,던전,penjara gelap bawah tanah,กรุ,زنزانة,Подземелье,Verlies
Status,Status,ステータス,状态,状态,狀態,Statut,Estado,상태,Status,สถานะ,الحالة,Положение дел,Status
Scout,Scout,スカウト,侦察,侦察,偵察,Scout,Explorar,스카우트,Pramuka,แมวมอง,كشاف,разведчик,Erkunden
Quest,Quest,クエスト,寻求,寻求,尋求,Quête,Búsqueda,퀘스트,Pencarian,การแสวงหา,بحث,поиск,Suche
Shop,Shop,ショップ,店,店,店,Boutique,tienda,상점,Toko,ร้านขายของ,متجر,Магазин,Geschäft
Others,Others,その他,其他,其他,其他,Autres,Otros,기타,Lainnya,คนอื่น ๆ,الآخرين,другие,Andere
GachaTicket,Gacha Ticket,ガチャチケット,嘎查门票,嘎查门票,嘎查門票,Gacha ticket,Gacha de entradas,가챠 티켓,Gacha Tiket,ตั๋ว Gacha,Gacha تذكرة,Gacha билетов,Gacha Ticket
GachaTicket comment,It is a ticket where you can draw gacha by consuming one at a time,１回につき１つ消費することでガチャが引けるチケットです,这是一票，你可以通过在耗时一个嘎查画,这是一票，你可以通过在耗时一个嘎查画,這是一票，你可以通過在耗時一個嘎查畫,Il est un billet où vous pouvez dessiner gacha en consommant un à la fois,Es un billete donde se puede dibujar gacha por el consumo de una a la vez,1 회에 1 개를 소모하여 가체가 당길 티켓입니다,Ini adalah tiket di mana Anda dapat menarik gacha dengan mengkonsumsi satu per satu,เป็นตั๋วที่คุณสามารถวาด Gacha โดยการบริโภคหนึ่งที่เวลา,إنها تذكرة حيث يمكنك رسم gacha التي تستهلك في وقت واحد,"Это билет, где вы можете рисовать Gacha, потребляя по одному","Es ist ein Ticket, wo Sie gacha durch den Verzehr einer nach dem anderen ziehen kann"
BookList,Book List,ブックリスト,图书清单,图书清单,圖書清單,Liste de livres,Lista de libros,도서 목록,Daftar buku,รายชื่อหนังสือ,قائمة الكتب,Список книг,Bücherliste
BookList comment,You can check the list of possessed books,所持しているブックのリストを確認できます,您可以检查所拥有的书籍列表,您可以检查所拥有的书籍列表,您可以檢查所擁有的書籍列表,Vous pouvez consulter la liste des livres possédés,Puede comprobar la lista de libros que posee,소지하고있는 책의 목록을 확인할 수 있습니다,Anda dapat memeriksa daftar buku yang dimiliki,คุณสามารถตรวจสอบรายชื่อของหนังสือครอบครอง,يمكنك التحقق من قائمة الكتب تمتلكها,Вы можете проверить список книг одержимых,Sie können die Liste der Bücher besessen überprüfen
CharaList,Character List,キャラクターリスト,字符列表,字符列表,字符列表,Liste des personnages,Lista de caracteres,캐릭터 목록,Daftar karakter,รายการตัวอักษร,قائمة الشخصيات,Список символов,Zeichenliste
CharaList comment,You can check the list of possessed characters,所持しているキャラクターのリストを確認できます,您可以检查的拥有角色的列表,您可以检查的拥有角色的列表,您可以檢查的擁有角色的列表,Vous pouvez consulter la liste des personnages possédés,Puede comprobar la lista de personajes que poseen,소지하고있는 캐릭터의 목록을 확인할 수 있습니다,Anda dapat memeriksa daftar karakter yang dimiliki,คุณสามารถตรวจสอบรายชื่อของตัวละครครอบครอง,يمكنك التحقق من قائمة الأحرف تمتلكها,Вы можете проверить список одержимых персонажей,Sie können die Liste der besessenen Zeichen überprüfen
MusicList,Music List,楽曲リスト,音乐列表,音乐列表,音樂列表,Liste de musique,Lista de música,음악리스트,Daftar music,รายการเพลง,قائمة الموسيقى,Список музыки,Musikliste
MusicList comment,You can check the list of possessed music,所持している楽曲のリストを確認できます,您可以检查附身的音乐列表,您可以检查附身的音乐列表,您可以檢查附身的音樂列表,Vous pouvez consulter la liste de la musique possédée,Puede comprobar la lista de música poseída,소지하고있는 곡의 목록을 확인할 수 있습니다,Anda dapat memeriksa daftar musik kesurupan,คุณสามารถตรวจสอบรายชื่อของเพลงสิง,يمكنك التحقق من قائمة الموسيقى يمتلكها,Вы можете проверить список одержимой музыки,Sie können die Liste der besessenen Musik überprüfen
#Game,,,,,,,,,,,,,
Character,Character,キャラクター,字符,字符,字符,Personnage,Personaje,캐릭터,Karakter,ตัวละคร,حرف,символ,Charakter
